zurich_class,largest_spot_size,spot_distribution,activity,evolution,prev_24h_activity,hist_complex,became_complex,area,area_largest_spot,c_class_flares,m_class_flares,x_class_flares,total_flares,flare_occurred,risk_score
D,R,O,2,1,1,2,1,1,4,2,0,0,2,1,1
B,R,I,1,1,1,1,1,1,3,1,0,0,1,1,1
D,S,O,1,3,2,1,1,2,2,0,0,0,0,0,0
C,S,O,2,2,2,1,2,2,1,0,0,0,0,0,0
C,H,O,1,1,3,1,1,2,1,0,0,0,0,0,0
C,S,O,1,2,1,1,1,2,4,1,0,0,1,1,1
B,A,O,1,1,1,1,1,1,2,0,0,0,0,0,0
D,K,O,1,3,2,1,1,2,3,1,0,0,1,1,1
C,A,C,2,1,2,2,1,3,4,1,1,0,2,1,2
B,H,C,1,2,2,1,1,2,1,0,0,0,0,0,0
E,A,O,2,1,1,2,1,3,4,1,0,0,1,1,1
F,K,C,1,3,2,2,1,3,1,3,1,0,4,1,2
A,A,O,1,1,1,1,1,5,1,0,0,0,0,0,0
B,R,I,1,2,2,2,1,3,3,1,0,0,1,1,1
B,S,O,2,1,1,1,1,2,4,0,0,0,0,0,0
D,S,O,2,1,2,1,1,1,5,1,0,0,1,1,1
H,A,I,2,2,1,1,1,5,1,2,0,0,2,1,1
F,H,O,1,2,3,1,1,5,3,1,1,0,2,1,2
E,S,C,1,2,1,1,1,4,5,1,1,0,2,1,2
B,H,I,2,2,1,2,2,1,2,1,0,0,1,1,1
H,H,C,1,3,3,1,2,1,1,0,0,0,0,0,0
B,S,I,2,1,1,1,1,2,1,0,0,0,0,0,0
B,K,C,2,1,2,1,2,3,3,1,0,0,1,1,1
F,A,O,1,1,1,2,2,4,1,3,0,0,3,1,1
B,K,O,1,2,2,1,1,1,2,2,1,0,3,1,2
D,A,O,1,3,3,1,2,3,1,0,0,0,0,0,0
A,H,O,2,2,1,1,1,1,2,0,0,0,0,0,0
D,H,O,2,3,3,1,1,1,4,1,2,0,3,1,2
E,K,I,1,1,1,1,1,2,2,1,0,0,1,1,1
B,R,O,1,2,2,2,1,4,4,2,0,0,2,1,1
B,A,C,1,1,2,1,1,3,3,0,0,0,0,0,0
B,S,O,1,1,1,1,1,3,1,0,0,0,0,0,0
D,K,O,2,2,3,1,1,2,1,1,1,0,2,1,2
B,R,O,1,1,2,1,2,1,2,1,0,0,1,1,1
B,K,O,1,1,1,1,1,5,2,1,0,0,1,1,1
C,K,C,2,1,1,1,1,2,3,1,0,0,1,1,1
B,R,I,1,2,1,2,1,2,5,1,0,0,1,1,1
E,A,O,1,1,1,1,2,1,4,3,1,0,4,1,2
B,H,I,1,1,1,1,1,1,2,1,0,0,1,1,1
C,H,C,1,3,3,2,1,3,1,0,0,0,0,0,0
F,K,C,2,1,3,1,1,5,2,2,0,0,2,1,1
D,H,O,2,2,3,1,2,3,2,0,0,0,0,0,0
E,S,I,2,2,1,1,1,4,2,1,0,0,1,1,1
F,A,I,1,2,2,1,1,3,1,2,0,1,3,1,3
D,H,C,1,1,1,1,1,1,5,2,0,0,2,1,1
D,R,I,1,1,3,1,1,1,1,0,0,0,0,0,0
F,S,O,2,1,3,1,1,5,1,1,0,0,1,1,1
H,S,C,2,1,1,1,1,1,1,0,0,0,0,0,0
C,S,C,2,1,1,2,1,3,2,1,0,0,1,1,1
B,K,I,1,1,1,2,1,1,2,3,0,0,3,1,1
B,A,O,2,2,1,2,1,2,2,0,0,0,0,0,0
B,S,C,1,2,1,1,1,2,3,0,0,0,0,0,0
C,H,O,1,1,1,2,1,3,4,0,0,0,0,0,0
B,H,O,1,1,2,1,1,4,1,1,0,0,1,1,1
C,K,O,1,2,2,1,2,5,1,2,0,0,2,1,1
B,H,C,1,2,2,2,1,1,2,0,0,0,0,0,0
E,S,O,1,2,1,2,1,2,1,1,0,1,2,1,3
F,R,X,1,3,1,1,1,2,2,3,0,0,3,1,1
C,H,I,2,1,1,2,1,1,1,2,0,0,2,1,1
B,R,C,2,2,1,2,1,1,4,0,0,0,0,0,0
C,S,C,2,1,1,1,1,2,1,0,1,0,1,1,2
E,K,I,1,1,1,2,1,4,3,0,1,0,1,1,2
B,K,C,1,2,2,1,2,2,1,1,0,0,1,1,1
C,A,C,2,1,1,1,1,3,2,0,0,0,0,0,0
B,H,I,2,2,1,2,1,5,2,0,0,0,0,0,0
C,R,I,1,1,1,2,1,1,2,1,1,0,2,1,2
B,A,I,1,1,2,1,1,1,3,1,0,0,1,1,1
B,A,C,1,2,2,2,1,5,1,2,0,0,2,1,1
C,S,O,2,1,1,2,1,1,2,1,1,0,2,1,2
B,R,C,1,2,2,1,1,1,5,0,0,0,0,0,0
B,S,O,2,1,1,2,1,4,1,0,0,0,0,0,0
C,S,I,1,3,1,1,1,1,2,0,0,0,0,0,0
D,S,I,1,1,1,1,1,1,1,2,0,0,2,1,1
B,A,I,1,1,1,1,2,3,1,0,0,0,0,0,0
E,H,O,2,1,2,1,1,3,4,1,1,0,2,1,2
E,S,O,2,1,1,1,1,1,2,2,1,0,3,1,2
A,S,O,2,1,1,1,1,2,2,0,0,0,0,0,0
B,R,I,2,3,1,2,1,4,2,0,0,0,0,0,0
C,R,C,2,2,1,1,1,2,1,0,1,0,1,1,2
B,S,C,2,2,1,1,1,1,2,0,0,0,0,0,0
B,H,O,2,2,1,1,1,3,1,0,0,0,0,0,0
D,A,I,1,1,2,2,1,1,3,0,0,0,0,0,0
D,H,O,2,1,1,1,1,4,1,1,1,0,2,1,2
C,H,I,1,1,2,2,1,2,1,1,0,0,1,1,1
D,H,O,1,1,2,1,1,2,1,0,0,0,0,0,0
B,H,I,1,1,1,1,1,3,1,0,0,0,0,0,0
B,K,O,1,1,1,1,1,2,3,1,0,0,1,1,1
D,K,C,1,1,1,1,1,5,1,1,0,0,1,1,1
E,A,I,1,1,1,1,1,1,1,2,0,0,2,1,1
C,A,O,1,1,1,1,1,5,1,0,1,0,1,1,2
B,R,X,1,2,1,1,1,2,1,1,0,0,1,1,1
A,K,C,1,1,2,1,1,3,2,0,0,0,0,0,0
D,R,O,1,3,1,1,1,4,1,1,0,0,1,1,1
A,H,O,1,2,1,2,1,3,1,0,0,0,0,0,0
B,H,O,1,3,1,1,1,4,1,0,0,0,0,0,0
C,S,C,1,2,1,1,2,2,1,2,0,0,2,1,1
E,S,I,1,2,2,1,1,3,2,3,0,0,3,1,1
B,R,I,2,1,3,1,1,1,5,0,0,0,0,0,0
B,H,I,1,1,1,1,1,4,3,0,0,0,0,0,0
A,S,O,1,2,1,1,1,1,1,0,0,0,0,0,0
B,H,I,1,2,1,1,1,2,3,1,0,0,1,1,1
C,K,O,1,2,1,1,1,2,3,2,0,0,2,1,1
B,R,O,1,1,3,2,2,1,4,0,0,0,0,0,0
B,K,I,1,1,1,1,2,1,2,0,0,0,0,0,0
B,S,O,1,2,1,1,1,2,4,0,1,0,1,1,2
C,S,C,2,1,2,1,1,4,3,0,0,0,0,0,0
D,K,O,2,3,1,1,1,2,1,4,1,0,5,1,2
D,K,I,1,2,2,1,1,2,2,1,0,0,1,1,1
F,S,C,2,1,2,2,1,5,4,3,0,0,3,1,1
A,A,O,1,3,2,1,1,1,3,1,0,0,1,1,1
D,R,C,2,1,2,1,1,2,1,2,2,0,4,1,2
C,A,C,1,1,2,2,1,3,4,0,0,0,0,0,0
C,H,C,1,1,1,1,1,4,5,0,0,0,0,0,0
F,A,C,1,3,1,2,1,5,4,3,0,0,3,1,1
A,S,O,2,2,2,1,1,1,2,1,0,0,1,1,1
D,S,I,1,1,1,2,2,2,2,2,0,0,2,1,1
D,S,I,2,3,3,2,1,1,4,1,1,0,2,1,2
C,A,I,1,1,2,1,1,1,3,1,0,0,1,1,1
B,K,C,1,1,3,1,1,4,3,0,1,0,1,1,2
D,K,O,2,2,1,1,1,2,1,1,0,0,1,1,1
B,R,O,1,1,2,1,1,1,2,0,0,0,0,0,0
C,S,C,2,1,1,1,1,1,1,1,0,0,1,1,1
C,R,C,1,1,2,1,1,2,1,1,0,0,1,1,1
D,S,O,2,1,1,1,1,3,1,1,0,0,1,1,1
B,S,I,2,1,2,1,1,3,2,0,2,0,2,1,2
B,A,I,1,1,1,1,1,5,3,1,0,0,1,1,1
B,A,O,2,1,2,1,1,2,1,1,0,0,1,1,1
D,H,O,1,1,1,1,1,2,1,0,0,0,0,0,0
E,K,I,1,3,1,1,1,1,4,2,0,0,2,1,1
C,K,O,2,1,2,1,2,1,4,0,0,0,0,0,0
B,A,I,2,1,1,1,1,5,2,1,0,0,1,1,1
H,H,X,1,2,2,1,2,1,1,0,0,0,0,0,0
E,H,O,2,2,1,1,1,2,1,4,0,0,4,1,1
C,S,O,1,1,1,1,1,2,2,1,0,0,1,1,1
E,K,I,2,2,1,1,2,3,3,1,1,0,2,1,2
C,R,C,2,1,1,1,1,1,2,3,0,0,3,1,1
E,X,O,2,1,2,1,1,2,2,4,1,0,5,1,2
E,S,O,1,1,1,1,1,2,5,0,3,0,3,1,2
F,S,I,1,1,1,1,1,1,1,0,0,0,0,0,0
E,A,I,1,3,1,1,1,1,2,1,1,0,2,1,2
A,R,I,1,2,1,1,1,2,2,0,0,0,0,0,0
B,A,C,2,1,2,1,1,1,2,1,0,0,1,1,1
B,H,I,2,1,2,1,1,1,1,0,0,0,0,0,0
F,S,O,1,1,2,1,1,1,1,2,1,0,3,1,2
B,S,I,1,1,1,1,1,3,2,0,0,0,0,0,0
B,A,I,1,1,2,1,2,4,2,0,0,0,0,0,0
E,S,I,1,3,3,2,2,4,1,3,0,0,3,1,1
C,H,I,1,1,1,1,1,1,2,0,0,0,0,0,0
E,K,C,1,2,3,2,1,3,5,3,1,0,4,1,2
B,H,O,1,1,1,1,2,1,1,0,0,0,0,0,0
D,R,O,1,2,3,1,1,1,2,1,0,0,1,1,1
C,H,O,2,1,1,1,1,1,2,1,0,0,1,1,1
B,R,O,1,2,2,1,1,1,3,1,0,0,1,1,1
D,S,I,2,2,1,2,1,2,1,3,0,0,3,1,1
B,R,I,1,3,1,1,1,2,3,0,0,0,0,0,0
A,S,O,2,1,2,1,1,1,2,0,0,0,0,0,0
B,A,I,1,1,1,1,1,1,1,1,0,0,1,1,1
B,A,I,2,1,1,2,1,4,3,1,0,0,1,1,1
E,S,O,1,2,1,1,1,1,1,2,0,0,2,1,1
D,K,C,2,3,3,1,2,2,3,0,1,0,1,1,2
E,S,I,1,1,2,2,1,1,1,0,1,0,1,1,2
D,H,I,2,3,1,2,1,1,2,1,0,1,2,1,3
C,K,O,2,2,3,2,1,2,4,2,0,0,2,1,1
B,A,I,1,1,1,2,1,1,3,0,0,0,0,0,0
H,S,C,2,2,2,1,1,3,2,0,0,0,0,0,0
B,A,O,1,2,1,1,1,2,2,0,0,0,0,0,0
C,S,O,2,2,2,1,1,3,1,1,0,0,1,1,1
B,A,I,1,2,2,1,1,3,2,0,0,0,0,0,0
H,S,O,2,1,2,1,1,5,2,0,0,0,0,0,0
B,S,I,1,1,1,1,1,2,2,0,0,0,0,0,0
B,H,O,1,1,1,2,1,2,1,2,0,0,2,1,1
D,R,C,1,2,2,2,1,3,4,1,2,0,3,1,2
B,S,I,2,1,3,1,2,2,2,0,0,0,0,0,0
C,H,O,1,2,1,1,1,1,2,0,0,0,0,0,0
C,H,O,1,2,2,1,1,1,5,2,0,0,2,1,1
B,S,O,2,2,3,2,1,1,4,1,0,0,1,1,1
B,S,I,1,1,2,2,2,4,2,0,0,0,0,0,0
C,K,O,1,1,1,1,1,2,2,0,0,0,0,0,0
B,H,O,1,2,1,2,1,1,2,0,0,0,0,0,0
C,A,C,1,1,2,1,1,3,1,0,0,0,0,0,0
B,S,I,2,2,1,1,1,1,1,0,0,0,0,0,0
F,R,O,2,3,1,1,1,5,1,3,0,0,3,1,1
B,S,O,1,2,1,2,1,2,2,1,0,0,1,1,1
B,A,C,2,2,1,1,1,4,3,0,0,0,0,0,0
B,H,O,2,2,1,1,1,4,1,0,0,0,0,0,0
C,H,O,1,1,1,1,1,4,2,1,0,0,1,1,1
D,R,C,1,3,2,1,1,2,3,1,1,0,2,1,2
B,S,O,2,2,1,2,1,1,3,0,0,0,0,0,0
H,S,O,1,1,1,1,2,2,3,2,0,0,2,1,1
B,S,O,1,3,2,1,1,1,1,0,0,0,0,0,0
D,H,O,1,2,2,1,1,4,3,1,0,1,2,1,3
D,H,C,1,3,1,1,1,2,1,1,0,0,1,1,1
D,A,O,2,2,1,1,1,1,1,0,0,0,0,0,0
H,K,O,1,1,1,1,1,4,1,2,0,0,2,1,1
E,R,O,2,2,1,2,1,2,2,3,0,0,3,1,1
D,K,C,1,2,2,2,1,1,2,0,1,0,1,1,2
D,R,O,1,1,1,1,1,1,1,0,0,0,0,0,0
B,S,O,1,3,1,2,1,2,2,0,0,0,0,0,0
B,H,I,1,1,2,1,1,1,4,1,0,0,1,1,1
B,R,I,2,1,2,1,1,3,1,2,0,0,2,1,1
B,A,O,2,2,3,1,1,1,1,0,0,0,0,0,0
C,S,I,2,1,1,1,1,2,1,1,0,0,1,1,1
C,H,O,1,2,3,2,1,1,3,0,0,0,0,0,0
D,K,O,1,3,1,1,2,1,2,1,1,0,2,1,2
F,H,I,1,1,1,2,1,2,2,3,0,0,3,1,1
B,H,O,1,2,1,1,1,1,1,1,0,0,1,1,1
B,R,O,1,2,2,1,2,5,5,0,0,0,0,0,0
C,S,C,1,1,1,1,1,1,4,0,0,0,0,0,0
D,A,O,2,1,1,1,1,4,3,2,0,0,2,1,1
E,S,O,2,1,1,1,1,3,4,0,1,0,1,1,2
F,S,O,1,1,1,1,1,5,3,0,0,0,0,0,0
H,S,O,1,2,3,1,1,4,1,0,0,0,0,0,0
B,K,O,1,1,1,2,1,4,5,3,0,0,3,1,1
B,S,C,2,1,1,1,1,2,5,0,0,0,0,0,0
B,S,O,2,2,1,1,1,5,3,0,0,0,0,0,0
D,X,O,2,3,2,1,1,1,1,2,1,0,3,1,2
D,H,I,1,2,3,1,1,2,1,2,0,0,2,1,1
E,R,O,1,1,1,1,1,3,2,2,0,0,2,1,1
B,S,O,1,3,1,1,1,2,2,0,0,0,0,0,0
C,S,C,1,1,3,1,1,5,5,2,0,0,2,1,1
C,K,O,2,1,2,1,1,3,1,1,0,0,1,1,1
B,S,I,1,1,1,1,1,1,1,0,0,0,0,0,0
B,H,I,1,3,2,1,1,4,2,0,0,0,0,0,0
E,H,O,1,1,2,1,2,4,3,0,0,0,0,0,0
A,K,I,1,2,2,1,1,2,1,1,0,0,1,1,1
C,R,C,1,1,1,1,1,5,3,1,0,0,1,1,1
B,S,O,1,3,1,1,1,2,4,0,0,0,0,0,0
C,H,I,1,1,1,1,2,3,3,0,1,0,1,1,2
H,S,I,2,2,3,1,1,2,1,2,0,0,2,1,1
C,S,C,1,1,1,1,1,1,2,1,0,0,1,1,1
E,S,O,2,3,1,1,1,3,1,2,1,0,3,1,2
B,S,O,1,2,2,1,1,1,1,0,0,0,0,0,0
B,S,I,1,1,2,2,1,1,3,1,0,0,1,1,1
B,R,O,1,3,1,2,1,2,1,0,0,0,0,0,0
B,S,I,1,2,1,1,1,3,2,1,0,0,1,1,1
D,S,C,1,1,1,1,1,2,2,1,1,0,2,1,2
B,R,O,2,1,2,2,2,2,1,1,0,0,1,1,1
D,S,O,2,2,1,1,1,2,4,0,1,0,1,1,2
D,R,O,1,2,1,2,1,2,1,4,0,0,4,1,1
B,A,X,2,1,1,1,1,1,4,2,0,0,2,1,1
C,H,O,1,1,1,1,2,2,1,0,0,0,0,0,0
C,H,C,1,1,2,2,1,2,4,0,1,0,1,1,2
B,R,C,2,1,2,1,1,1,2,0,0,0,0,0,0
E,A,O,1,1,1,1,1,2,3,1,0,0,1,1,1
D,H,C,1,1,1,1,1,2,2,0,0,0,0,0,0
D,S,O,2,2,1,1,1,4,3,1,0,0,1,1,1
C,H,O,2,2,1,1,1,3,4,1,0,0,1,1,1
B,K,O,1,2,2,1,1,1,2,0,0,0,0,0,0
B,H,C,1,2,2,1,1,1,2,1,0,0,1,1,1
B,R,C,2,1,1,1,1,1,2,1,0,0,1,1,1
B,X,O,1,2,3,2,1,2,1,0,0,0,0,0,0
A,S,I,2,1,3,1,1,4,1,0,0,0,0,0,0
D,S,O,1,1,3,1,1,1,3,0,0,0,0,0,0
B,A,O,2,3,1,2,1,1,2,0,0,0,0,0,0
C,S,O,2,2,3,1,1,2,1,0,0,0,0,0,0
D,H,I,2,1,2,1,1,2,4,2,0,0,2,1,1
D,S,O,2,2,1,1,1,2,3,0,0,0,0,0,0
F,R,C,2,1,3,2,1,1,2,0,0,0,0,0,0
B,S,I,1,2,1,1,1,3,2,0,0,0,0,0,0
E,K,O,1,1,2,1,1,4,1,2,0,0,2,1,1
A,K,I,1,1,1,1,1,1,2,0,0,0,0,0,0
C,S,C,1,1,1,1,2,1,4,1,0,0,1,1,1
B,H,O,1,1,3,1,1,3,2,0,0,0,0,0,0
C,S,I,2,2,1,1,1,3,1,3,0,0,3,1,1
B,K,O,1,2,1,1,1,3,1,1,0,0,1,1,1
B,S,C,2,1,1,2,1,5,1,1,0,0,1,1,1
A,A,C,1,1,2,1,1,1,1,1,0,0,1,1,1
C,R,O,1,1,2,1,1,2,3,0,0,0,0,0,0
E,K,X,1,3,2,1,1,3,5,0,0,0,0,0,0
B,H,I,2,1,1,1,1,2,1,0,0,0,0,0,0
B,H,O,1,1,1,1,2,2,2,0,0,0,0,0,0
B,A,O,1,1,1,1,1,2,1,0,0,0,0,0,0
B,S,C,1,2,1,1,2,1,1,0,0,0,0,0,0
B,A,C,1,1,1,1,1,4,1,0,0,0,0,0,0
B,A,O,1,1,1,1,1,1,2,0,0,0,0,0,0
B,S,O,1,2,2,1,1,1,4,0,0,0,0,0,0
B,H,O,1,1,3,1,1,3,2,0,0,0,0,0,0
B,S,O,1,3,2,1,1,2,3,0,0,0,0,0,0
E,S,C,1,3,1,1,1,1,2,0,2,0,2,1,2
B,S,I,2,1,2,1,1,5,3,0,0,0,0,0,0
C,S,C,1,1,1,1,1,2,1,0,0,0,0,0,0
D,R,O,1,3,1,1,1,1,1,2,0,0,2,1,1
C,H,I,2,2,3,1,1,1,1,0,0,0,0,0,0
B,H,C,1,1,1,1,1,2,1,1,0,0,1,1,1
B,A,O,1,2,1,2,1,1,3,1,0,0,1,1,1
C,K,I,1,3,1,1,1,1,2,1,0,0,1,1,1
C,R,O,1,2,2,1,2,3,3,0,0,0,0,0,0
B,H,O,2,1,1,1,1,1,2,0,0,0,0,0,0
D,S,C,1,2,1,1,2,3,1,1,0,0,1,1,1
D,S,O,2,1,1,1,1,1,4,1,0,0,1,1,1
F,S,O,1,2,3,1,1,2,2,2,1,0,3,1,2
A,H,O,1,1,2,1,1,1,2,1,0,0,1,1,1
E,R,O,2,3,1,1,2,5,4,1,0,0,1,1,1
B,H,I,1,1,2,1,1,1,2,0,0,0,0,0,0
E,A,C,1,1,2,1,1,2,2,0,0,0,0,0,0
D,R,C,1,1,1,1,2,1,1,0,0,0,0,0,0
H,H,C,2,1,2,1,1,2,1,0,0,0,0,0,0
D,A,I,1,1,1,1,1,5,2,0,1,0,1,1,2
B,K,I,1,1,1,1,1,2,4,0,0,0,0,0,0
C,H,O,1,2,3,2,1,3,3,0,0,0,0,0,0
B,A,O,1,1,1,1,1,2,3,0,0,0,0,0,0
B,H,O,1,1,1,1,1,1,4,1,0,0,1,1,1
B,S,I,1,1,1,1,1,1,3,0,0,0,0,0,0
C,A,O,2,1,1,1,1,5,2,1,0,0,1,1,1
D,S,C,1,3,2,2,1,2,3,3,0,0,3,1,1
B,K,C,2,1,3,1,1,4,1,0,0,0,0,0,0
C,S,O,1,1,2,2,1,3,4,0,0,0,0,0,0
B,X,O,1,1,2,1,1,3,2,0,0,0,0,0,0
B,S,C,1,1,1,2,1,2,2,0,0,0,0,0,0
A,A,O,1,1,1,1,1,2,4,0,0,0,0,0,0
F,R,O,1,2,1,2,1,2,3,0,0,0,0,0,0
A,A,O,2,1,3,1,1,3,1,1,0,0,1,1,1
B,K,C,2,1,1,1,1,4,1,0,0,0,0,0,0
C,H,O,1,1,2,1,2,2,3,0,0,0,0,0,0
B,A,O,1,1,1,1,1,2,1,0,0,0,0,0,0
E,K,I,1,2,2,1,1,3,1,2,0,0,2,1,1
D,K,O,2,2,2,2,1,5,1,2,0,0,2,1,1
F,H,I,1,2,1,1,1,3,3,5,0,0,5,1,1
C,A,O,1,1,1,2,1,4,1,5,0,0,5,1,1
B,S,C,1,1,1,2,1,2,1,0,0,0,0,0,0
C,X,I,2,2,1,2,1,1,2,0,0,0,0,0,0
F,A,O,1,2,1,1,1,3,1,2,0,0,2,1,1
C,K,C,2,1,1,1,1,1,2,0,0,0,0,0,0
B,H,C,1,2,2,2,1,4,2,0,0,0,0,0,0
E,S,C,1,3,1,1,1,1,5,3,1,0,4,1,2
B,R,I,2,2,3,1,1,2,4,0,0,0,0,0,0
A,H,O,1,2,2,1,1,2,5,0,0,0,0,0,0
B,H,I,1,1,2,2,1,4,1,0,0,0,0,0,0
B,K,O,1,1,2,1,1,5,1,0,0,0,0,0,0
E,K,C,1,1,1,1,1,5,3,0,1,0,1,1,2
C,A,I,1,2,2,1,2,1,1,1,1,0,2,1,2
C,R,I,2,1,3,1,1,5,2,0,0,0,0,0,0
B,S,I,1,1,1,1,1,3,1,0,0,0,0,0,0
E,S,O,1,1,2,2,2,1,1,1,0,0,1,1,1
F,A,O,2,2,2,1,1,2,2,1,0,0,1,1,1
H,S,C,1,2,1,1,1,4,3,2,0,0,2,1,1
B,K,O,2,2,2,1,1,5,1,2,0,0,2,1,1
F,H,O,1,2,2,1,1,1,2,2,0,0,2,1,1
D,S,O,1,2,1,2,1,1,2,0,0,0,0,0,0
D,A,C,1,1,3,1,1,1,1,1,0,0,1,1,1
B,S,I,2,1,1,1,1,2,1,1,0,0,1,1,1
B,K,C,1,2,2,1,1,2,1,0,0,0,0,0,0
B,S,O,2,2,1,2,1,3,4,1,0,0,1,1,1
E,H,C,1,1,2,1,1,1,1,2,2,0,4,1,2
B,K,O,1,2,1,1,2,4,1,0,0,0,0,0,0
C,S,I,1,1,3,2,1,2,2,2,0,0,2,1,1
C,S,O,2,2,1,2,1,1,3,0,0,0,0,0,0
D,H,O,2,1,1,1,1,4,2,1,0,0,1,1,1
E,H,O,1,1,2,2,1,4,1,2,1,0,3,1,2
B,A,I,1,1,1,1,1,3,1,0,0,0,0,0,0
C,A,O,1,3,1,1,1,2,3,0,0,0,0,0,0
E,S,O,1,2,1,2,2,3,3,3,0,0,3,1,1
E,S,O,1,1,1,1,1,1,5,0,2,0,2,1,2
B,R,C,1,1,2,2,2,3,3,0,0,0,0,0,0
B,S,I,1,2,3,1,1,3,2,0,0,0,0,0,0
B,S,O,1,1,1,1,1,4,1,0,0,0,0,0,0
B,S,C,1,2,2,2,2,5,2,1,0,0,1,1,1
C,K,C,1,1,1,2,2,4,3,2,0,0,2,1,1
B,S,C,1,2,1,1,1,4,1,0,0,0,0,0,0
C,S,C,1,1,1,1,1,2,1,0,0,0,0,0,0
B,A,X,1,2,1,1,1,3,1,0,0,0,0,0,0
C,K,I,1,2,1,1,1,5,2,2,0,0,2,1,1
B,R,O,1,2,2,1,1,1,3,2,0,0,2,1,1
H,K,I,1,2,3,1,1,3,1,3,0,0,3,1,1
F,R,O,1,2,2,1,1,1,2,3,0,0,3,1,1
B,S,O,1,2,1,1,1,1,1,1,0,0,1,1,1
B,S,O,1,1,3,2,1,2,1,2,0,0,2,1,1
B,S,I,1,3,2,2,1,2,2,1,0,0,1,1,1
C,S,C,2,2,1,1,1,3,2,0,0,0,0,0,0
A,S,O,2,1,1,1,1,1,2,0,0,0,0,0,0
D,K,O,1,2,1,1,1,4,1,1,0,0,1,1,1
B,K,C,1,1,1,2,1,1,1,0,0,0,0,0,0
B,A,I,1,1,1,2,1,1,2,1,0,0,1,1,1
D,K,C,1,1,1,1,1,2,2,0,0,0,0,0,0
D,A,I,1,2,2,2,1,3,5,0,0,0,0,0,0
F,S,I,1,2,2,2,1,2,3,3,0,0,3,1,1
B,S,I,1,1,3,1,2,4,2,0,0,0,0,0,0
E,S,O,1,1,2,2,1,3,2,1,0,1,2,1,3
D,A,C,1,2,2,1,1,3,1,3,0,0,3,1,1
B,R,I,2,3,1,2,1,2,3,1,0,0,1,1,1
C,R,O,2,1,1,1,1,2,2,3,0,0,3,1,1
B,A,C,1,1,3,1,1,1,2,0,0,0,0,0,0
E,S,C,1,1,1,2,1,4,3,0,0,1,1,1,3
B,H,O,2,2,1,1,2,2,3,1,0,0,1,1,1
B,S,O,2,1,3,1,1,2,1,1,0,0,1,1,1
B,R,O,2,1,3,1,1,3,1,0,0,0,0,0,0
B,R,I,2,3,2,1,1,4,3,1,0,0,1,1,1
D,K,C,1,2,1,1,1,3,1,0,0,1,1,1,3
C,R,O,2,2,2,1,1,2,2,0,0,0,0,0,0
C,R,I,2,2,1,1,1,2,1,1,0,0,1,1,1
A,K,O,1,3,1,2,1,1,2,1,0,0,1,1,1
C,S,O,1,1,1,2,2,1,5,0,0,0,0,0,0
B,A,I,2,2,2,1,1,5,3,1,0,0,1,1,1
B,H,C,2,1,1,1,1,1,3,1,0,0,1,1,1
F,A,O,2,2,1,1,1,1,2,1,0,0,1,1,1
B,K,C,1,2,1,2,2,5,2,0,1,0,1,1,2
E,H,O,1,3,1,1,1,2,5,3,0,0,3,1,1
D,R,O,2,1,1,1,1,4,2,2,1,0,3,1,2
B,A,C,1,1,1,2,1,3,3,0,0,0,0,0,0
C,H,I,1,2,1,1,1,1,1,3,1,0,4,1,2
B,H,I,2,2,2,1,1,1,1,0,0,0,0,0,0
D,R,O,2,2,1,1,1,1,1,0,0,0,0,0,0
D,H,O,1,2,1,1,1,2,1,1,0,0,1,1,1
D,H,O,1,1,1,1,1,4,2,1,0,0,1,1,1
C,H,C,1,1,2,1,1,3,4,1,0,0,1,1,1
E,A,O,1,2,3,1,1,1,2,3,0,0,3,1,1
A,S,C,2,1,1,2,1,2,3,1,0,0,1,1,1
B,A,O,1,2,2,1,1,3,2,1,0,0,1,1,1
D,H,C,1,3,2,1,2,4,3,1,1,0,2,1,2
C,K,O,1,1,1,2,1,5,2,3,0,0,3,1,1
B,A,O,1,1,2,1,1,2,2,0,0,0,0,0,0
B,K,O,2,1,1,1,1,2,2,0,0,0,0,0,0
E,H,O,1,2,2,1,1,3,1,2,0,0,2,1,1
C,R,I,1,2,1,1,1,3,1,0,0,0,0,0,0
E,A,C,1,3,2,1,1,5,1,1,0,0,1,1,1
D,S,O,1,2,1,1,1,2,2,3,0,0,3,1,1
B,S,C,2,1,1,1,1,2,1,0,0,0,0,0,0
B,S,I,1,2,1,1,1,2,2,0,0,0,0,0,0
C,S,O,2,2,1,2,1,3,4,1,0,0,1,1,1
E,A,O,1,2,2,1,1,2,2,1,0,0,1,1,1
D,A,I,1,2,2,2,1,1,5,1,2,0,3,1,2
A,S,O,2,1,2,1,1,2,1,0,0,0,0,0,0
D,R,I,1,1,1,2,1,1,3,1,0,0,1,1,1
E,R,I,1,1,3,1,1,3,5,1,0,0,1,1,1
D,A,O,2,1,1,1,1,1,2,0,1,0,1,1,2
B,S,C,1,1,1,1,1,4,2,0,0,0,0,0,0
C,X,I,2,1,2,2,1,3,4,0,0,0,0,0,0
B,K,O,2,1,1,1,1,2,1,1,0,0,1,1,1
B,A,I,1,2,1,1,1,1,1,0,0,0,0,0,0
F,R,O,2,1,3,2,1,4,5,1,0,0,1,1,1
E,H,C,2,1,1,1,1,2,2,0,0,0,0,0,0
B,K,O,1,2,3,1,1,1,1,0,0,0,0,0,0
B,S,C,1,1,3,1,1,2,3,0,0,0,0,0,0
C,R,I,2,2,3,1,1,1,1,0,0,0,0,0,0
